family,prompt_sha1,seed,pos_arm,neg_arm,delta,matches_prediction
randsign,0dee1ceb78,1337,3.290154,3.082828,0.207326,no
randsign,0dee1ceb78,42,3.45418,3.240897,0.213283,no
randsign,0dee1ceb78,4242145,3.382855,3.059002,0.323853,no
randsign,0dee1ceb78,777,3.308556,3.162269,0.146287,no
randsign,0dee1ceb78,9999,3.393639,3.181313,0.212326,no
randsign,2adb8ea1cd,1337,3.014402,2.972225,0.042177,no
randsign,2adb8ea1cd,42,3.007491,3.011476,-0.003985,yes
randsign,2adb8ea1cd,4242145,3.050595,2.795917,0.254677,no
randsign,2adb8ea1cd,777,2.961246,3.07169,-0.110445,yes
randsign,2adb8ea1cd,9999,3.018377,2.908313,0.110065,no
randsign,2b36c75165,1337,3.032346,2.74109,0.291256,no
randsign,2b36c75165,42,2.884188,2.682574,0.201614,no
randsign,2b36c75165,4242145,2.905581,2.669952,0.235628,no
randsign,2b36c75165,777,2.948977,2.746327,0.202651,no
randsign,2b36c75165,9999,2.867939,2.761395,0.106544,no
randsign,2f3689f658,1337,3.247829,2.95432,0.293509,no
randsign,2f3689f658,42,3.314702,3.091699,0.223003,no
randsign,2f3689f658,4242145,3.268793,2.973349,0.295444,no
randsign,2f3689f658,777,3.156792,2.963409,0.193383,no
randsign,2f3689f658,9999,3.208687,3.041394,0.167293,no
randsign,3d8a617173,1337,3.186321,2.961705,0.224615,no
randsign,3d8a617173,42,3.295376,3.060904,0.234472,no
randsign,3d8a617173,4242145,3.159513,3.061172,0.098341,no
randsign,3d8a617173,777,3.051704,2.964012,0.087692,no
randsign,3d8a617173,9999,3.242648,2.963723,0.278925,no
randsign,402376662d,1337,2.967369,3.12688,-0.159511,yes
randsign,402376662d,42,3.13366,3.031026,0.102633,no
randsign,402376662d,4242145,3.249577,3.040402,0.209175,no
randsign,402376662d,777,3.158115,3.053572,0.104543,no
randsign,402376662d,9999,3.101032,3.06356,0.037471,no
randsign,5421ab290b,1337,2.713452,2.857212,-0.14376,yes
randsign,5421ab290b,42,2.569105,2.914075,-0.34497,yes
randsign,5421ab290b,4242145,2.651364,2.873327,-0.221963,yes
randsign,5421ab290b,777,2.979276,2.922005,0.057271,no
randsign,5421ab290b,9999,2.987657,2.928839,0.058818,no
randsign,5b67e787c8,1337,2.421005,2.86131,-0.440305,yes
randsign,5b67e787c8,42,2.557441,3.13347,-0.576028,yes
randsign,5b67e787c8,4242145,2.508069,2.853746,-0.345678,yes
randsign,5b67e787c8,777,2.595151,2.948522,-0.353371,yes
randsign,5b67e787c8,9999,2.60291,2.894812,-0.291902,yes
randsign,66faaa372d,1337,2.990683,2.849661,0.141021,no
randsign,66faaa372d,42,2.996339,2.925388,0.07095,no
randsign,66faaa372d,4242145,2.92554,2.929227,-0.003687,yes
randsign,66faaa372d,777,2.815335,2.87839,-0.063055,yes
randsign,66faaa372d,9999,2.854213,2.791391,0.062822,no
randsign,8c3325ffd9,1337,2.656006,2.520455,0.135551,no
randsign,8c3325ffd9,42,2.763086,2.534341,0.228745,no
randsign,8c3325ffd9,4242145,2.623355,2.460789,0.162567,no
randsign,8c3325ffd9,777,2.951712,2.529374,0.422338,no
randsign,8c3325ffd9,9999,2.73759,2.589662,0.147928,no
randsign,90ec9bbe8c,1337,3.060335,2.923216,0.137119,no
randsign,90ec9bbe8c,42,2.982297,3.032136,-0.049839,yes
randsign,90ec9bbe8c,4242145,3.137863,2.990074,0.147789,no
randsign,90ec9bbe8c,777,3.195505,3.027839,0.167666,no
randsign,90ec9bbe8c,9999,3.036386,2.946765,0.08962,no
randsign,92b7d2e00d,1337,2.967292,3.032832,-0.065541,yes
randsign,92b7d2e00d,42,3.041574,2.984856,0.056718,no
randsign,92b7d2e00d,4242145,3.019054,2.99325,0.025805,no
randsign,92b7d2e00d,777,3.026929,3.020886,0.006043,no
randsign,92b7d2e00d,9999,3.035551,3.018906,0.016645,no
randsign,952efcc3c6,1337,2.429619,2.91142,-0.481801,yes
randsign,952efcc3c6,42,3.025685,2.971773,0.053912,no
randsign,952efcc3c6,4242145,2.498558,2.907444,-0.408886,yes
randsign,952efcc3c6,777,2.893046,2.870083,0.022963,no
randsign,952efcc3c6,9999,2.609799,2.920062,-0.310263,yes
randsign,a324a148e4,1337,3.008824,2.975028,0.033797,no
randsign,a324a148e4,42,3.144391,2.965975,0.178416,no
randsign,a324a148e4,4242145,2.709067,2.877584,-0.168517,yes
randsign,a324a148e4,777,2.7766,2.898346,-0.121746,yes
randsign,a324a148e4,9999,3.069994,2.922612,0.147382,no
