source_path,recovered_path,output_folder,file,bench,prompt_id,seed,condition,recovered_sha256
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_combat_robot\rotations\Block_3_rotX_-30.0_00001_.png,C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_combat_robot\rotations\Block_3_rotX_-30.0_00001_.png,rotations,Block_3_rotX_-30.0_00001_.png,pilot_rotations,combat_robot,4242145,rotX,31004658837873eaab2fe2a112bba72e5fa751b16a9a19e8c294a9fff441aa59
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_combat_robot\rotations\Block_4_rotX_+15.0_00001_.png,C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_combat_robot\rotations\Block_4_rotX_+15.0_00001_.png,rotations,Block_4_rotX_+15.0_00001_.png,pilot_rotations,combat_robot,4242145,rotX,6e332bca50c8eb4151e63c6990adf267297d9dbdfa93c49439f38095edcd7fbb
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_combat_robot\rotations\Block_4_rotX_+30.0_00001_.png,C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_combat_robot\rotations\Block_4_rotX_+30.0_00001_.png,rotations,Block_4_rotX_+30.0_00001_.png,pilot_rotations,combat_robot,4242145,rotX,daabf83a782c9b0b628fc60b727ee5471e90791dc7f4fa4302aa9a41652b0aa3
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_combat_robot\rotations\Block_4_rotX_-15.0_00001_.png,C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_combat_robot\rotations\Block_4_rotX_-15.0_00001_.png,rotations,Block_4_rotX_-15.0_00001_.png,pilot_rotations,combat_robot,4242145,rotX,695a3465f80d1621dfad42cf1e9c0acd8b8d9092cfb76ee8b5dac251fe088829
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_combat_robot\rotations\Block_4_rotX_-30.0_00001_.png,C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_combat_robot\rotations\Block_4_rotX_-30.0_00001_.png,rotations,Block_4_rotX_-30.0_00001_.png,pilot_rotations,combat_robot,4242145,rotX,f1c88522989e614bc6e56d31f334f7c22c8e5119ece5ebf5f81c496a4b8ea976
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_combat_robot\rotations\Block_5_rotX_+15.0_00001_.png,C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_combat_robot\rotations\Block_5_rotX_+15.0_00001_.png,rotations,Block_5_rotX_+15.0_00001_.png,pilot_rotations,combat_robot,4242145,rotX,5d3e82aef5b279353ab094f308dfaa6c768bb85281cc209404d71063e5d0b8bd
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_combat_robot\rotations\Block_5_rotX_+30.0_00001_.png,C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_combat_robot\rotations\Block_5_rotX_+30.0_00001_.png,rotations,Block_5_rotX_+30.0_00001_.png,pilot_rotations,combat_robot,4242145,rotX,0fa36a2b5561e4b6fa2b18c5d96bd47bbfb162b6df9e4378dd85f72a83c9360f
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_combat_robot\rotations\Block_5_rotX_-15.0_00001_.png,C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_combat_robot\rotations\Block_5_rotX_-15.0_00001_.png,rotations,Block_5_rotX_-15.0_00001_.png,pilot_rotations,combat_robot,4242145,rotX,01f6c55db932e575d8ac4c7a80b05d33c28e75b199b5c6165f804537c0c6e063
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_combat_robot\rotations\Block_5_rotX_-30.0_00001_.png,C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_combat_robot\rotations\Block_5_rotX_-30.0_00001_.png,rotations,Block_5_rotX_-30.0_00001_.png,pilot_rotations,combat_robot,4242145,rotX,d2716443ff5e3e6b26c3e58557edcb7bf4bd65199851ca469e6bb45d70de8abf
C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_combat_robot\rotations\Block_6_rotX_+15.0_00001_.png,C:\Users\aless\Desktop\diffusion-models-weight-steering-report\recovered_renders\benchmark_combat_robot\rotations\Block_6_rotX_+15.0_00001_.png,rotations,Block_6_rotX_+15.0_00001_.png,pilot_rotations,combat_robot,4242145,rotX,37186b88205f02a0268b75e43d960a14e6ffce3772249efa8e7aa8d3b49444ae
