file,condition,prompt_dir,prompt_sha1,seed,rel_path,width_px,height_px,paper_L,paper_C,paper_hue_deg,paper_frac,paper_hex,ink_L,ink_C,ink_hue_deg,ink_frac,ink_hex,subject_frac,tonal_range,step_regularity,effective_steps,top2_mass_share,chroma_spread,sw1_L,sw1_C,sw1_hue_deg,sw1_share,sw1_hex,sw2_L,sw2_C,sw2_hue_deg,sw2_share,sw2_hex,sw3_L,sw3_C,sw3_hue_deg,sw3_share,sw3_hex,sw4_L,sw4_C,sw4_hue_deg,sw4_share,sw4_hex,sw5_L,sw5_C,sw5_hue_deg,sw5_share,sw5_hex,sw6_L,sw6_C,sw6_hue_deg,sw6_share,sw6_hex,source_csv
I07_baseline_seed4242145_00001_.png,baseline,I07,402376662d,4242145,renders/I07_baseline_seed4242145_00001_.png,1024,1280,71.4822,22.2547,72.47,0.2978,#c9aa89,2.961,0.8332,43.25,0.2459,#0d0a09,0.6853,84.606,17.4669,4,0.4029,19.0853,1.8277,0.5298,50.11,0.3172,#080606,50.9803,19.0115,53.32,0.0857,#957260,63.2505,19.6152,255.47,0.0253,#7a9dba,63.9525,9.75,89.16,0.0605,#a39a8a,66.9054,8.8076,245.71,0.0278,#94a5b1,86.4338,2.5309,107.39,0.0164,#d9d9d4,palette_features_stage7a_candidates.csv
I07_baseline_seed42_00001_.png,baseline,I07,402376662d,42,renders/I07_baseline_seed42_00001_.png,1024,1280,75.7554,18.6855,76.68,0.2971,#d0b79a,2.8288,0.9327,37.3,0.2444,#0d0a09,0.6558,85.0087,11.8807,5,0.4169,24.1301,1.7184,0.5461,36.77,0.3323,#080605,35.7664,15.2051,35.26,0.0775,#6c4d47,48.6246,22.467,50.49,0.0817,#946a57,59.7224,13.3314,259.23,0.0291,#7e92a7,60.212,24.6762,65.96,0.0846,#b08a6a,86.7271,3.5249,94.26,0.0169,#dcd9d2,palette_features_stage7a_candidates.csv
I07_baseline_seed1337_00001_.png,baseline,I07,402376662d,1337,renders/I07_baseline_seed1337_00001_.png,1024,1280,91.2638,10.3877,88.04,0.2778,#efe5d2,2.5291,0.836,41.71,0.2422,#0b0908,0.7314,78.324,13.7016,5,0.3996,21.637,1.8719,0.6287,44.58,0.3102,#090606,43.1447,17.5608,40.26,0.0719,#825d54,61.4558,22.2657,251.92,0.0133,#6d9ab9,66.2952,11.6489,88.2,0.0734,#aaa08c,71.3981,21.3525,76.39,0.0893,#c6ab89,80.1959,1.4486,201.45,0.0122,#c4c8c8,palette_features_stage7a_candidates.csv
I07_baseline_seed777_00001_.png,baseline,I07,402376662d,777,renders/I07_baseline_seed777_00001_.png,1024,1280,93.4855,10.0804,87.85,0.2541,#f5ebd9,2.3212,0.7171,44.27,0.2598,#0a0807,0.753,79.4201,12.6601,5,0.4377,21.5136,1.5984,0.4772,48.82,0.3156,#070605,38.2948,16.8074,34.58,0.0769,#75524b,62.1503,16.2913,251.64,0.0365,#7b9ab1,69.5326,11.8539,89.82,0.063,#b3a994,71.6195,21.9909,72.88,0.1222,#c9aa8a,81.0184,2.4379,232.6,0.0129,#c4cacd,palette_features_stage7a_candidates.csv
I07_baseline_seed9999_00001_.png,baseline,I07,402376662d,9999,renders/I07_baseline_seed9999_00001_.png,1024,1280,93.5654,7.7165,85.21,0.2815,#f4ecde,2.4452,0.798,42.8,0.2699,#0b0808,0.7275,77.2274,11.7852,5,0.4196,21.6219,1.7452,0.6413,43.88,0.349,#080605,31.741,15.9934,38.28,0.041,#63433c,59.9008,13.7117,250.1,0.0315,#7a94a7,65.8164,22.2632,71.45,0.0706,#ba9a7b,66.3527,9.7108,93.59,0.0629,#a8a190,78.9726,3.2976,256.35,0.0182,#bfc4c9,palette_features_stage7a_candidates.csv
I08_baseline_seed4242145_00001_.png,baseline,I08,c00acc77d9,4242145,renders/I08_baseline_seed4242145_00001_.png,1024,1280,84.3224,5.5226,94.22,0.3571,#d6d2c8,4.2643,1.5332,32.3,0.2043,#120e0d,0.6664,83.5575,9.7967,5,0.321,44.6468,2.9649,1.1805,35.11,0.2669,#0e0a09,27.5655,24.7732,17.88,0.0391,#653236,31.5569,10.8456,267.33,0.049,#3f4b5b,45.3839,45.8273,40.18,0.042,#ab513c,76.3875,28.5649,76.18,0.0541,#dbb78a,86.5224,8.0629,207.6,0.0347,#c6dddf,palette_features_stage7a_candidates.csv
I08_baseline_seed42_00001_.png,baseline,I08,c00acc77d9,42,renders/I08_baseline_seed42_00001_.png,1024,1280,86.8429,6.6856,91.32,0.316,#dfd9cd,4.6708,1.3554,8.4,0.1878,#130f10,0.6377,80.6106,10.7423,6,0.3421,51.2331,3.179,1.0141,12.6,0.2543,#0e0b0b,37.5616,23.1867,316.02,0.0879,#675073,44.7539,52.2473,43.4,0.0208,#ae4c30,56.1697,28.5624,82.02,0.0709,#9e8356,61.8878,23.1246,38.2,0.0227,#bd897d,83.7896,9.7943,215.05,0.0445,#bbd6db,palette_features_stage7a_candidates.csv
I08_baseline_seed1337_00001_.png,baseline,I08,c00acc77d9,1337,renders/I08_baseline_seed1337_00001_.png,1024,1280,84.5002,5.0213,98.51,0.3383,#d6d3ca,4.8665,1.4854,26.59,0.2011,#13100f,0.6579,85.0192,12.7024,4,0.3096,56.9908,3.3066,1.0867,25.68,0.2605,#0f0b0b,34.1464,20.028,315.2,0.0289,#5c4967,34.6179,37.9801,27.09,0.0447,#873838,53.9189,58.0776,46.11,0.0146,#cd613a,58.1484,30.1486,82.75,0.0491,#a38857,88.3258,5.1929,214.23,0.0292,#d2e0e3,palette_features_stage7a_candidates.csv
I08_baseline_seed777_00001_.png,baseline,I08,c00acc77d9,777,renders/I08_baseline_seed777_00001_.png,1024,1280,85.3198,5.9799,92.43,0.3723,#dad5ca,4.5492,1.5128,23.23,0.2038,#130f0f,0.6591,84.206,9.4035,6,0.4156,51.9329,3.1441,1.1647,18.37,0.2691,#0e0b0b,31.3845,24.2871,31.0,0.0457,#6d3c37,47.0841,53.0977,41.57,0.0302,#b75036,55.4052,28.1183,77.96,0.0696,#9e8055,60.4968,8.6705,282.43,0.1465,#8e91a1,87.3501,6.4868,218.09,0.0342,#ccdee2,palette_features_stage7a_candidates.csv
I08_baseline_seed9999_00001_.png,baseline,I08,c00acc77d9,9999,renders/I08_baseline_seed9999_00001_.png,1024,1280,85.2998,6.0068,92.02,0.4051,#dad5ca,5.2036,1.9098,37.51,0.1716,#15100f,0.6244,88.7239,5.6175,6,0.2977,50.4948,3.6439,1.6632,36.43,0.2394,#110c0b,29.0889,21.8178,29.67,0.058,#643935,44.19,52.1579,38.35,0.0379,#af4835,53.6278,28.9376,79.86,0.0583,#987c4f,75.9312,27.0343,64.03,0.0489,#e0b28f,92.3679,4.0898,220.71,0.019,#e0ebee,palette_features_stage7a_candidates.csv
I09_baseline_seed4242145_00001_.png,baseline,I09,0a1c94584d,4242145,renders/I09_baseline_seed4242145_00001_.png,1024,1280,75.4214,23.7068,46.95,0.1122,#e2ae9b,2.9355,1.6164,40.26,0.2826,#0f0a08,0.8946,87.3694,14.6119,5,0.4873,45.9846,2.6386,1.2147,40.3,0.2991,#0d0908,12.125,13.021,43.59,0.0518,#2f1b14,52.6264,47.1993,46.65,0.0528,#be6544,52.9264,34.4068,44.86,0.0369,#b16d56,62.0799,22.623,75.03,0.1882,#ae9170,90.008,42.6237,96.68,0.023,#f5e391,palette_features_stage7a_candidates.csv
