run_id,prompt_id,seed,condition,cond_tag,angle_label,angle_deg,image_path,file,width_px,height_px,stroke_width_median_px,stroke_width_std_px,stroke_width_cv,edge_density,contour_mean_length_px,contour_n_components,crosshatch_entropy_mean,crosshatch_entropy_p90,color_top4_cluster_share,color_cluster_entropy_norm,color_n_effective,colorfulness_hs,luminance_hist_n_peaks,shadow_edge_transition_width_px,shadow_edge_transition_width_std,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,lbp_entropy,lbp_uniform_share,fft_radial_slope,fft_high_freq_share
30,P01,2718281,B1_pos,B1_pos_mid,mid,10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s2718281_B1_pos_mid_00001_.png,P01_s2718281_B1_pos_mid_00001_.png,1024,1280,2.799999952316284,2.0524544715881348,0.7330194666218667,0.1355880737304687,58.00195822454308,3064,3.244396448135376,3.9867360591888414,0.5274,0.8935905462539602,11.912152182276724,41.145484924316406,1,18.0,6.171700501259321,9.247849129258494,0.6861109064569293,0.1976251623848091,0.8651767284642196,3.112462808116213,0.8841033935546875,-3.50958570954861,1.5256875798989136e-05
31,P01,2718281,B6_neg,B6_neg_high,high,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s2718281_B6_neg_high_00001_.png,P01_s2718281_B6_neg_high_00001_.png,1024,1280,2.0,0.4527345895767212,0.2263672947883606,0.333062744140625,63.748831775700936,6848,1.9820321798324585,2.425688982009888,0.41675,0.9415146406224602,13.604938807272898,46.45045471191406,1,26.0,2.0585142290044383,6.91887861449613,0.372429813333244,0.0985337349383359,0.7607927296152398,2.71773920791872,0.8349838256835938,-2.70167157433005,5.401436150181327e-05
32,P01,2718281,B6_neg,B6_neg_low,low,-5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s2718281_B6_neg_low_00001_.png,P01_s2718281_B6_neg_low_00001_.png,1024,1280,4.0,1.70900297164917,0.4272507429122925,0.138958740234375,68.54949190816711,2657,3.212747097015381,3.972339630126953,0.5445500000000001,0.8695284605276294,11.143371126698034,33.45949935913086,1,19.0,5.220631992225775,8.21385617101431,0.6553855392952881,0.1987037755908786,0.8661198237697845,3.186194420731244,0.8402305603027344,-3.4060071284016407,2.0843336379697416e-05
33,P01,2718281,B6_neg,B6_neg_mid,mid,-10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s2718281_B6_neg_mid_00001_.png,P01_s2718281_B6_neg_mid_00001_.png,1024,1280,2.799999952316284,1.1335489749908447,0.4048389265339532,0.212689208984375,33.73378509196515,8264,2.679692029953003,3.520780563354492,0.4847,0.9059795809420306,12.328439756005698,33.80244445800781,2,25.0,3.6243062621604447,7.802116826087026,0.4987929550887504,0.1200304901542867,0.7913396860656704,3.0022715088897463,0.8807357788085938,-3.033984762337728,5.343799251024296e-05
34,P01,2718281,B6_pos,B6_pos_high,high,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s2718281_B6_pos_high_00001_.png,P01_s2718281_B6_pos_high_00001_.png,1024,1280,2.0,1.7281956672668457,0.8640978336334229,0.0118766784667968,82.80319148936171,188,3.4690232276916504,3.974915027618408,0.57285,0.8534126555400748,10.656417620756232,49.47206497192383,1,23.0,4.143924308900946,0.3972064312798476,0.8755474460210004,0.3298218071145719,0.9911661596043247,2.782886384393392,0.9398422241210938,-3.7144982180970576,9.484328268152291e-07
35,P01,2718281,B6_pos,B6_pos_low,low,5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s2718281_B6_pos_low_00001_.png,P01_s2718281_B6_pos_low_00001_.png,1024,1280,2.0,2.179770469665528,1.0898852348327637,0.1241790771484375,54.7842477280377,2971,3.227454662322998,3.905309200286865,0.5613,0.8587005974790769,10.813805364796428,47.34847640991211,1,18.0,6.035956211083247,7.522479694848938,0.7176348969537409,0.2677473792314337,0.9003359339970736,3.0904106546004813,0.8873420715332032,-3.409225707324076,1.5816762678562234e-05
36,P01,2718281,B6_pos,B6_pos_mid,mid,10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s2718281_B6_pos_mid_00001_.png,P01_s2718281_B6_pos_mid_00001_.png,1024,1280,2.0,1.5850608348846436,0.7925304174423218,0.1017745971679687,62.834667922750825,2123,3.178029775619507,3.9274284839630127,0.47845,0.901802680762796,12.186489771789615,50.00176239013672,2,24.0,3.75594347786865,1.9407372740392128,0.7192746728139532,0.1896391520314573,0.9658453484380408,3.066147741304432,0.884381103515625,-3.658952152266172,3.449357889214017e-06
37,P01,2718281,baseline,baseline,none,0.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s2718281_baseline_00001_.png,P01_s2718281_baseline_00001_.png,1024,1280,2.799999952316284,2.1445226669311523,0.7659009655186273,0.1221542358398437,64.7956292998786,2471,3.248739004135132,4.01790714263916,0.5750000000000001,0.8578326222305632,10.787812815673922,39.18854904174805,1,17.0,6.3224603748501504,8.577284951508386,0.7162321631731174,0.2547539585693837,0.8859723895609442,3.1481279442257337,0.8331550598144531,-3.391774492046349,1.9386179361422298e-05
38,P01,2718281,scrA_neg,scrA_neg_high,high,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s2718281_scrA_neg_high_00001_.png,P01_s2718281_scrA_neg_high_00001_.png,1024,1280,2.799999952316284,1.8035457134246824,0.6441234800496013,0.1405281066894531,57.025696594427245,3230,3.4220640659332275,4.036745548248291,0.5374,0.8886330879069818,11.749539845521182,32.44149398803711,1,21.0,5.02278228122486,6.996127748889622,0.6731356770969428,0.184708130907791,0.868944055053607,3.111581905516624,0.8976333618164063,-3.3197853537815982,2.251269185987033e-05
39,P01,2718281,scrA_neg,scrA_neg_low,low,-5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s2718281_scrA_neg_low_00001_.png,P01_s2718281_scrA_neg_low_00001_.png,1024,1280,2.799999952316284,1.9063411951065063,0.6808361527040371,0.1311836242675781,58.16813261163735,2956,3.311281204223633,4.014767169952393,0.52685,0.8848565869049569,11.62715596522638,37.26905822753906,2,18.0,5.776045834931988,7.804306934520564,0.701800482724006,0.2257706184551414,0.8831173746259551,3.160393694328979,0.8434326171875,-3.399000138389252,1.7742350789872085e-05
40,P01,2718281,scrA_neg,scrA_neg_mid,mid,-10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P01_s2718281_scrA_neg_mid_00001_.png,P01_s2718281_scrA_neg_mid_00001_.png,1024,1280,2.799999952316284,1.798863649368286,0.6424513142866971,0.1388313293457031,55.20904126213592,3296,3.377365827560425,4.031628131866455,0.52475,0.8953240204280443,11.969542302515665,34.00594711303711,1,19.0,5.7280402465513545,7.209403387278481,0.6851524864603584,0.2026112094460362,0.8808345203620118,3.164861330881938,0.8643600463867187,-3.3632327982466625,1.97812009823026e-05
