view_order,hash_id,prompt_id,cond_name,seed,is_duplicate,orig_hash_id,score
112,7f375ed4ce93,S09_fresco,blockshuf_neg_1x,1337,0,7f375ed4ce93,SPENTO
113,8018a80e7b21,S07_comic,baseline,4242145,0,8018a80e7b21,SPENTO
114,804f2cde64b4,S06_pastel,blockshuf_neg_2x,9999,0,804f2cde64b4,SPENTO
115,80608fce6453,S06_pastel,baseline,42,1,22b836993141,SPENTO
116,8112823804c5,S08_papercraft,preset_pos_2x,9999,0,8112823804c5,SPENTO
117,817df174e6f2,S03_cyberpunk,blockshuf_neg_2x,777,0,817df174e6f2,SPENTO
118,83057136d13a,S01_oil,baseline,42,0,83057136d13a,SPENTO
119,8741ff11c898,S04_gouache,blockshuf_neg_2x,777,0,8741ff11c898,SPENTO
120,8a0f95b600ec,S05_pencil,baseline,42,0,8a0f95b600ec,SPENTO
121,8ac5aa8df086,S09_fresco,blockshuf_neg_1x,777,0,8ac5aa8df086,SPENTO
122,8c1c9ad3cab5,S03_cyberpunk,blockshuf_neg_2x,1337,0,8c1c9ad3cab5,SPENTO
123,8c21d89409b9,S08_papercraft,baseline,9999,0,8c21d89409b9,SPENTO
124,8f1ef41cc450,S05_pencil,preset_pos_2x,4242145,0,8f1ef41cc450,SPENTO
125,8f62adbe3708,S09_fresco,preset_pos_2x,1337,0,8f62adbe3708,SPENTO
126,90d655d2ed98,S01_oil,preset_pos_2x,777,0,90d655d2ed98,SPENTO
127,922f25990138,S10_synthwave,blockshuf_neg_2x,777,0,922f25990138,SPENTO
128,994d4ec7281d,S07_comic,blockshuf_neg_2x,777,0,994d4ec7281d,SPENTO
129,9baacd4e8b36,S03_cyberpunk,blockshuf_neg_2x,4242145,0,9baacd4e8b36,SPENTO
130,9bb0c0ec174d,S08_papercraft,baseline,4242145,0,9bb0c0ec174d,SPENTO
131,9e10a5c345aa,S10_synthwave,preset_pos_2x,4242145,0,9e10a5c345aa,SPENTO
132,9e7ecd127443,S01_oil,preset_pos_2x,42,0,9e7ecd127443,SPENTO
133,9f1336d48011,S08_papercraft,baseline,9999,1,8c21d89409b9,SPENTO
134,9f3b2fb2c776,S07_comic,baseline,4242145,1,8018a80e7b21,SPENTO
135,9fa0735f0b43,S07_comic,blockshuf_neg_2x,4242145,0,9fa0735f0b43,SPENTO
136,a03e4201ed2f,S08_papercraft,blockshuf_neg_2x,1337,0,a03e4201ed2f,SPENTO
137,a235c141367d,S04_gouache,baseline,777,1,a9a02964dbd7,SPENTO
138,a28115c37587,S07_comic,baseline,777,0,a28115c37587,SPENTO
139,a318f3a4f19b,S02_linocut,blockshuf_neg_2x,4242145,0,a318f3a4f19b,SPENTO
140,a32eb71250d9,S05_pencil,baseline,1337,0,a32eb71250d9,SPENTO
141,a4649a61d24a,S02_linocut,blockshuf_neg_2x,42,0,a4649a61d24a,SPENTO
142,a46fb4dfa4b7,S09_fresco,preset_pos_2x,42,0,a46fb4dfa4b7,SPENTO
143,a5ab18f1e07d,S02_linocut,baseline,1337,0,a5ab18f1e07d,SPENTO
144,a8bf356f4c17,S08_papercraft,blockshuf_neg_1x,777,0,a8bf356f4c17,SPENTO
145,a91697b35056,S03_cyberpunk,baseline,777,0,a91697b35056,ACCESO
146,a9a02964dbd7,S04_gouache,baseline,777,0,a9a02964dbd7,SPENTO
147,ab91f103fb4e,S07_comic,blockshuf_neg_1x,1337,0,ab91f103fb4e,SPENTO
148,ac7726e4cc25,S08_papercraft,blockshuf_neg_1x,9999,0,ac7726e4cc25,SPENTO
149,adf791913d20,S06_pastel,blockshuf_neg_2x,777,0,adf791913d20,SPENTO
150,ae4519e4a246,S05_pencil,baseline,4242145,0,ae4519e4a246,SPENTO
151,b189dc769638,S06_pastel,preset_pos_2x,777,0,b189dc769638,SPENTO
152,b49e9d58b910,S01_oil,blockshuf_neg_2x,777,0,b49e9d58b910,SPENTO
153,b4e4fdbb938c,S01_oil,baseline,4242145,0,b4e4fdbb938c,SPENTO
154,b6ca42067d86,S03_cyberpunk,baseline,42,0,b6ca42067d86,ACCESO
155,b758e9654faa,S07_comic,blockshuf_neg_1x,777,0,b758e9654faa,SPENTO
156,b995c9edfd74,S04_gouache,preset_pos_2x,1337,0,b995c9edfd74,SPENTO
157,b9e6bf79dce6,S03_cyberpunk,blockshuf_neg_1x,9999,0,b9e6bf79dce6,ACCESO
158,ba3f96ab2753,S10_synthwave,blockshuf_neg_1x,9999,0,ba3f96ab2753,SPENTO
159,baa48baa8261,S03_cyberpunk,blockshuf_neg_1x,42,0,baa48baa8261,ACCESO
160,bd2cfdec30b3,S08_papercraft,blockshuf_neg_1x,4242145,0,bd2cfdec30b3,SPENTO
161,bf4511689c47,S01_oil,preset_pos_2x,1337,0,bf4511689c47,SPENTO
162,c0663af56bab,S08_papercraft,preset_pos_2x,1337,0,c0663af56bab,SPENTO
163,c3a8959aa19b,S01_oil,blockshuf_neg_1x,42,0,c3a8959aa19b,SPENTO
164,c72c0e709f96,S07_comic,baseline,42,0,c72c0e709f96,SPENTO
165,c749e9dcbfcd,S10_synthwave,baseline,4242145,0,c749e9dcbfcd,SPENTO
166,c82e9da923e0,S05_pencil,blockshuf_neg_1x,42,0,c82e9da923e0,SPENTO
167,c8538030eb57,S02_linocut,preset_pos_2x,777,0,c8538030eb57,SPENTO
168,c934608dce1a,S07_comic,blockshuf_neg_2x,42,0,c934608dce1a,SPENTO
169,caa7e4241f69,S03_cyberpunk,baseline,4242145,0,caa7e4241f69,ACCESO
170,cad7131afcc5,S05_pencil,preset_pos_2x,42,0,cad7131afcc5,SPENTO
171,cb8c46bbc004,S10_synthwave,baseline,1337,0,cb8c46bbc004,SPENTO
172,cc6369924a7b,S07_comic,preset_pos_2x,1337,0,cc6369924a7b,SPENTO
173,cd32132103a6,S10_synthwave,baseline,1337,1,cb8c46bbc004,SPENTO
174,cd9a7dae564b,S03_cyberpunk,baseline,42,1,b6ca42067d86,ACCESO
175,cf70935e1537,S09_fresco,baseline,1337,0,cf70935e1537,SPENTO
176,d053850b417b,S02_linocut,blockshuf_neg_1x,777,0,d053850b417b,SPENTO
177,d0b508024b5d,S10_synthwave,blockshuf_neg_2x,9999,0,d0b508024b5d,SPENTO
178,d10e4df04dd4,S10_synthwave,blockshuf_neg_2x,42,0,d10e4df04dd4,SPENTO
179,d2dfb7c4c888,S08_papercraft,blockshuf_neg_1x,1337,0,d2dfb7c4c888,SPENTO
180,d6e11fb14cfc,S07_comic,blockshuf_neg_2x,1337,0,d6e11fb14cfc,SPENTO
181,d744f2f64c39,S06_pastel,blockshuf_neg_1x,42,0,d744f2f64c39,SPENTO
182,d76c03763ab8,S10_synthwave,preset_pos_2x,777,0,d76c03763ab8,SPENTO
183,d9280efc561c,S05_pencil,blockshuf_neg_2x,1337,0,d9280efc561c,SPENTO
184,db214b149b5f,S06_pastel,baseline,9999,0,db214b149b5f,SPENTO
185,dd0a4ac5acaa,S09_fresco,blockshuf_neg_2x,42,0,dd0a4ac5acaa,SPENTO
186,dd3d06ac4c1f,S09_fresco,baseline,42,0,dd3d06ac4c1f,SPENTO
187,e0022e85240f,S06_pastel,preset_pos_2x,1337,0,e0022e85240f,SPENTO
188,e15477ec27a9,S01_oil,blockshuf_neg_2x,9999,0,e15477ec27a9,SPENTO
189,e56b7a0587ad,S01_oil,preset_pos_2x,9999,0,e56b7a0587ad,SPENTO
190,e687f90ed339,S01_oil,blockshuf_neg_1x,4242145,0,e687f90ed339,SPENTO
191,e6f9a07de983,S04_gouache,baseline,1337,0,e6f9a07de983,SPENTO
192,e71d09056895,S05_pencil,blockshuf_neg_2x,9999,0,e71d09056895,SPENTO
193,e8359e9da943,S04_gouache,blockshuf_neg_1x,777,0,e8359e9da943,SPENTO
194,e84573092097,S06_pastel,blockshuf_neg_1x,4242145,0,e84573092097,SPENTO
195,e886e7eb23e3,S02_linocut,blockshuf_neg_1x,9999,0,e886e7eb23e3,SPENTO
196,e9137242c507,S06_pastel,preset_pos_2x,9999,0,e9137242c507,SPENTO
197,e938d5402194,S06_pastel,blockshuf_neg_1x,777,0,e938d5402194,SPENTO
198,ecc20d62336f,S08_papercraft,preset_pos_2x,42,0,ecc20d62336f,SPENTO
199,ed3460ac9b65,S09_fresco,blockshuf_neg_1x,42,0,ed3460ac9b65,SPENTO
200,ed7c12076ce5,S04_gouache,baseline,42,0,ed7c12076ce5,SPENTO
