prompt_id,seed,condition,cond_tag,block_name,angle_label,angle_deg,image_path,run_id,file,width_px,height_px,stroke_width_median_px,stroke_width_std_px,stroke_width_cv,edge_density,contour_mean_length_px,contour_n_components,crosshatch_entropy_mean,crosshatch_entropy_p90,color_top4_cluster_share,color_cluster_entropy_norm,color_n_effective,colorfulness_hs,luminance_hist_n_peaks,shadow_edge_transition_width_px,shadow_edge_transition_width_std,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,lbp_entropy,lbp_uniform_share,fft_radial_slope,fft_high_freq_share
P02,2718281,B3_pos,B3_pos_low,B3,low,5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P02_s2718281_B3_pos_low_00001_.png,,P02_s2718281_B3_pos_low_00001_.png,1024,1280,2.799999952316284,2.575237274169922,0.9197276135806971,0.1343170166015625,50.30057142857143,3500,2.9463701248168945,3.8799853324890137,0.46230000000000004,0.9404474378555258,13.564742456630952,31.140317916870117,3,15.0,6.907240766036754,19.15523424508377,0.6780264729344578,0.16752778981528152,0.8866855025188682,3.1625809969614314,0.8194313049316406,-3.3728922844110287,1.546975363411025e-05
P02,2718281,B3_pos,B3_pos_mid,B3,mid,10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P02_s2718281_B3_pos_mid_00001_.png,,P02_s2718281_B3_pos_mid_00001_.png,1024,1280,2.799999952316284,2.4995901584625244,0.8927107860822471,0.13453140258789062,50.86039803865013,3467,2.9620511531829834,3.9361398220062256,0.4678,0.9319836750921712,13.250130836974739,31.818681716918945,3,14.0,6.709448526909279,18.67979947306834,0.682101044062584,0.17064312200552412,0.8923048640886379,3.158928085909695,0.821820068359375,-3.366110952650198,1.5228418308539565e-05
P02,2718281,B4_neg,B4_neg_high,B4,high,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P02_s2718281_B4_neg_high_00001_.png,,P02_s2718281_B4_neg_high_00001_.png,1024,1280,2.799999952316284,2.2348740100860596,0.7981693029091921,0.15114517211914064,45.365010304556904,4367,2.967472791671753,3.8592052459716797,0.48545,0.9230358839260239,12.925458349325318,35.11757278442383,5,14.0,6.418075548791865,22.218729968494287,0.659014619136939,0.18457035538181538,0.8601189002502228,3.1399429314668588,0.8350601196289062,-3.339201430542389,1.715595003319643e-05
P02,2718281,B4_neg,B4_neg_low,B4,low,-5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P02_s2718281_B4_neg_low_00001_.png,,P02_s2718281_B4_neg_low_00001_.png,1024,1280,2.799999952316284,2.2835752964019775,0.8155626197467978,0.14901046752929686,48.77897102897103,4004,2.9257771968841553,3.8661892414093018,0.428,0.9489805446172468,13.889494397430099,32.904510498046875,4,15.0,6.628804450087511,19.855672056044416,0.6538338485660267,0.1583855567651486,0.874025538439706,3.1654014808404862,0.8216217041015625,-3.370564126533411,1.5537730374903275e-05
P02,2718281,B4_neg,B4_neg_mid,B4,mid,-10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P02_s2718281_B4_neg_mid_00001_.png,,P02_s2718281_B4_neg_mid_00001_.png,1024,1280,2.799999952316284,2.1782312393188477,0.7779397415763947,0.14922943115234374,46.7714012434242,4182,2.966830015182495,3.8602864742279053,0.46260000000000007,0.9373339694982841,13.44815057402254,33.999969482421875,4,15.0,6.793867825743163,20.964870789034887,0.6582916762563646,0.1688388555409115,0.8697438477333721,3.1456342469847596,0.8323051452636719,-3.344285490458531,1.6363999706096462e-05
P02,2718281,B4_pos,B4_pos_high,B4,high,15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P02_s2718281_B4_pos_high_00001_.png,,P02_s2718281_B4_pos_high_00001_.png,1024,1280,2.799999952316284,2.5166661739349365,0.8988093631405382,0.139801025390625,43.587059942911516,4204,2.948431968688965,3.9313979148864746,0.46475,0.9389752035396361,13.509485384513047,36.50035858154297,4,15.0,7.002121546904527,17.24557965298928,0.683291207528261,0.1665684529353143,0.8951182150695065,3.1152653758306488,0.8346969604492188,-3.244448510199988,1.896597209656068e-05
P02,2718281,B4_pos,B4_pos_low,B4,low,5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P02_s2718281_B4_pos_low_00001_.png,,P02_s2718281_B4_pos_low_00001_.png,1024,1280,2.799999952316284,2.4673259258270264,0.881187845659049,0.13877410888671876,49.97087912087912,3640,2.965494155883789,3.902195930480957,0.48725,0.9300943955171255,13.180905530778672,32.74876022338867,4,15.0,6.97998271103647,18.2161535487948,0.6699265229160578,0.15783924961881513,0.892861919709996,3.161198637761974,0.8183685302734376,-3.31016481138489,1.7353056340819944e-05
P02,2718281,B4_pos,B4_pos_mid,B4,mid,10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P02_s2718281_B4_pos_mid_00001_.png,,P02_s2718281_B4_pos_mid_00001_.png,1024,1280,2.799999952316284,2.675630569458008,0.9555823625084734,0.14014358520507814,46.991302123305196,3909,2.968628406524658,3.9010720252990723,0.48019999999999996,0.9330357833756096,13.288838740079768,34.50130081176758,5,15.0,6.944632707170337,18.608917493503192,0.6704956125926202,0.1590916053307153,0.8915132836332172,3.153110348438055,0.8205055236816406,-3.2762553729735457,1.873861902934848e-05
P02,2718281,B5_neg,B5_neg_high,B5,high,-15.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P02_s2718281_B5_neg_high_00001_.png,,P02_s2718281_B5_neg_high_00001_.png,1024,1280,4.0,2.4995861053466797,0.6248965263366699,0.13185043334960939,58.444031112614134,2957,2.96976900100708,3.900573968887329,0.4512,0.9405148852049044,13.567279351673989,35.45036697387695,4,14.0,6.43514568599655,17.19789261107104,0.680974215157772,0.15943930467808895,0.8905336462481328,3.148328935729475,0.8298538208007813,-3.4975292183268345,1.1909443351440203e-05
P02,2718281,B5_neg,B5_neg_low,B5,low,-5.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P02_s2718281_B5_neg_low_00001_.png,,P02_s2718281_B5_neg_low_00001_.png,1024,1280,2.799999952316284,2.3463563919067383,0.837984439951768,0.14052734375,52.85279770444763,3485,2.9777731895446777,3.8794422149658203,0.45910000000000006,0.9437499058162782,13.689516836140333,32.25181579589844,3,15.0,6.772942376655806,19.179899417821684,0.6620477828098292,0.157472888204854,0.8803468549366592,3.169408669108825,0.819178009033203,-3.404237786714084,1.4687897777639574e-05
P02,2718281,B5_neg,B5_neg_mid,B5,mid,-10.0,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v2\renders\P02_s2718281_B5_neg_mid_00001_.png,,P02_s2718281_B5_neg_mid_00001_.png,1024,1280,2.799999952316284,2.47684645652771,0.8845880352529123,0.13474044799804688,53.37171350861287,3309,2.9915599822998047,3.876185894012451,0.4513,0.9415308220786271,13.60554920005366,34.36408996582031,3,15.0,6.686675817912659,17.773011733332304,0.6721183067535125,0.15586048774187333,0.8856549819868027,3.1620900292559218,0.8239479064941406,-3.4286748032198417,1.3566167140013115e-05
