run_id,prompt_id,prompt_sha1,seed,condition,cond_tag,dose_target_D,angle_deg,measured_D,checkpoint,checkpoint_sha256,vae,text_encoder,tuner_node,tuner_version,tuner_mode,sampler,steps,cfg,scheduler,denoise,width,height,image_path,baseline_path,renders_root,suite_git_sha,timestamp
10,P01,52e5b19ca6,1618033,B6_pos,B6_pos_d045,0.045001,32.21,0.045001,krea2_turbo_bf16.safetensors,not recorded,qwen_image_vae.safetensors,qwen3vl_4b_bf16.safetensors,ArthemyKrea2ModelRotator,not recorded,Default,euler_ancestral,7,1.0,simple,1.0,1024,1280,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_B6_pos_d045_00001_.png,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_baseline_00001_.png,benchmark_rotations_clean_v1_steps7/renders,not recorded,2026-09-22T02:16:32.879196
11,P01,52e5b19ca6,1618033,B6_pos,B6_pos_d060,0.06,43.405426,0.059995,krea2_turbo_bf16.safetensors,not recorded,qwen_image_vae.safetensors,qwen3vl_4b_bf16.safetensors,ArthemyKrea2ModelRotator,not recorded,Default,euler_ancestral,7,1.0,simple,1.0,1024,1280,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_B6_pos_d060_00001_.png,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_baseline_00001_.png,benchmark_rotations_clean_v1_steps7/renders,not recorded,2026-09-22T02:48:48.457702
12,P01,52e5b19ca6,1618033,baseline,baseline,0.0,0.0,0.0,krea2_turbo_bf16.safetensors,not recorded,qwen_image_vae.safetensors,qwen3vl_4b_bf16.safetensors,none,not recorded,none,euler_ancestral,7,1.0,simple,1.0,1024,1280,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_baseline_00001_.png,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_baseline_00001_.png,benchmark_rotations_clean_v1_steps7/renders,not recorded,2026-09-22T02:08:29.212730
13,P01,52e5b19ca6,1618033,scrA_neg,scrA_neg_d030,0.03,-15.7296,0.03,krea2_turbo_bf16.safetensors,not recorded,qwen_image_vae.safetensors,qwen3vl_4b_bf16.safetensors,ArthemyKrea2ModelScrambleRotator,not recorded,Default,euler_ancestral,7,1.0,simple,1.0,1024,1280,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_scrA_neg_d030_00001_.png,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_baseline_00001_.png,benchmark_rotations_clean_v1_steps7/renders,not recorded,2026-09-22T02:56:51.080050
14,P01,52e5b19ca6,1618033,scrA_neg,scrA_neg_d045,0.045001,-23.69,0.045001,krea2_turbo_bf16.safetensors,not recorded,qwen_image_vae.safetensors,qwen3vl_4b_bf16.safetensors,ArthemyKrea2ModelScrambleRotator,not recorded,Default,euler_ancestral,7,1.0,simple,1.0,1024,1280,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_scrA_neg_d045_00001_.png,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_baseline_00001_.png,benchmark_rotations_clean_v1_steps7/renders,not recorded,2026-09-22T02:24:36.981226
15,P01,52e5b19ca6,1618033,scrA_neg,scrA_neg_d060,0.06,-31.7657,0.059995,krea2_turbo_bf16.safetensors,not recorded,qwen_image_vae.safetensors,qwen3vl_4b_bf16.safetensors,ArthemyKrea2ModelScrambleRotator,not recorded,Default,euler_ancestral,7,1.0,simple,1.0,1024,1280,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_scrA_neg_d060_00001_.png,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_baseline_00001_.png,benchmark_rotations_clean_v1_steps7/renders,not recorded,2026-09-22T03:07:21.430014
16,P01,52e5b19ca6,1618033,scrA_pos,scrA_pos_d030,0.03,15.7296,0.03,krea2_turbo_bf16.safetensors,not recorded,qwen_image_vae.safetensors,qwen3vl_4b_bf16.safetensors,ArthemyKrea2ModelScrambleRotator,not recorded,Default,euler_ancestral,7,1.0,simple,1.0,1024,1280,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_scrA_pos_d030_00001_.png,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_baseline_00001_.png,benchmark_rotations_clean_v1_steps7/renders,not recorded,2026-09-22T02:54:11.113387
17,P01,52e5b19ca6,1618033,scrA_pos,scrA_pos_d045,0.045001,23.69,0.045001,krea2_turbo_bf16.safetensors,not recorded,qwen_image_vae.safetensors,qwen3vl_4b_bf16.safetensors,ArthemyKrea2ModelScrambleRotator,not recorded,Default,euler_ancestral,7,1.0,simple,1.0,1024,1280,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_scrA_pos_d045_00001_.png,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_baseline_00001_.png,benchmark_rotations_clean_v1_steps7/renders,not recorded,2026-09-22T02:21:55.264146
18,P01,52e5b19ca6,1618033,scrA_pos,scrA_pos_d060,0.06,31.7657,0.059995,krea2_turbo_bf16.safetensors,not recorded,qwen_image_vae.safetensors,qwen3vl_4b_bf16.safetensors,ArthemyKrea2ModelScrambleRotator,not recorded,Default,euler_ancestral,7,1.0,simple,1.0,1024,1280,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_scrA_pos_d060_00001_.png,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_baseline_00001_.png,benchmark_rotations_clean_v1_steps7/renders,not recorded,2026-09-22T03:04:43.203101
19,P01,52e5b19ca6,1618033,scrB_neg,scrB_neg_d030,0.03,-21.3119,0.029999,krea2_turbo_bf16.safetensors,not recorded,qwen_image_vae.safetensors,qwen3vl_4b_bf16.safetensors,ArthemyKrea2ModelScrambleRotator,not recorded,Default,euler_ancestral,7,1.0,simple,1.0,1024,1280,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_scrB_neg_d030_00001_.png,C:\StabilityMatrix-win-x64\Data\Packages\ComfyUI\output\benchmark_rotations_clean_v1_steps7\renders\P01_s1618033_baseline_00001_.png,benchmark_rotations_clean_v1_steps7/renders,not recorded,2026-09-22T03:02:05.203219
